sentence_id,triple_id,variant,text,manipulation,template_id,split,template_split,entity_split,semantic_agent,semantic_recipient,event_lemma,event_state,cause_holder_role,causal_relation,role_assignment,polarity,temporal_relation,agent_identity_eligible,recipient_identity_eligible,role_assignment_eligible,event_state_eligible,cause_holder_role_eligible,causal_relation_eligible,polarity_eligible,temporal_relation_eligible
agent_recipient_style_0_004__paraphrase,agent_recipient_style_0_004,paraphrase,"Because Jonah was locked out, Elena gave him the note.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Elena,Jonah,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_004__counterfactual,agent_recipient_style_0_004,counterfactual,"Because Elena was locked out, Jonah gave her the note.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Jonah,Elena,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_005__base,agent_recipient_style_0_005,base,Farid gave Keira the key because she was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Farid,Keira,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_005__paraphrase,agent_recipient_style_0_005,paraphrase,"Because Keira was locked out, Farid gave her the key.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Farid,Keira,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_005__counterfactual,agent_recipient_style_0_005,counterfactual,"Because Farid was locked out, Keira gave him the key.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Keira,Farid,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_006__base,agent_recipient_style_0_006,base,Grace gave Liam the map because he was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Grace,Liam,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_006__paraphrase,agent_recipient_style_0_006,paraphrase,"Because Liam was locked out, Grace gave him the map.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Grace,Liam,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_006__counterfactual,agent_recipient_style_0_006,counterfactual,"Because Grace was locked out, Liam gave her the map.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Liam,Grace,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_007__base,agent_recipient_style_0_007,base,Hugo gave Maya the torch because she was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Hugo,Maya,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_007__paraphrase,agent_recipient_style_0_007,paraphrase,"Because Maya was locked out, Hugo gave her the torch.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Hugo,Maya,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_007__counterfactual,agent_recipient_style_0_007,counterfactual,"Because Hugo was locked out, Maya gave him the torch.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Maya,Hugo,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_008__base,agent_recipient_style_0_008,base,Inez gave Noah the package because he was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Inez,Noah,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_008__paraphrase,agent_recipient_style_0_008,paraphrase,"Because Noah was locked out, Inez gave him the package.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Inez,Noah,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_008__counterfactual,agent_recipient_style_0_008,counterfactual,"Because Inez was locked out, Noah gave her the package.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Noah,Inez,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_009__base,agent_recipient_style_0_009,base,Jonah gave Ava the note because she was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Jonah,Ava,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_009__paraphrase,agent_recipient_style_0_009,paraphrase,"Because Ava was locked out, Jonah gave her the note.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Jonah,Ava,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_009__counterfactual,agent_recipient_style_0_009,counterfactual,"Because Jonah was locked out, Ava gave him the note.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Ava,Jonah,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_010__base,agent_recipient_style_0_010,base,Keira gave Ben the key because he was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Keira,Ben,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_010__paraphrase,agent_recipient_style_0_010,paraphrase,"Because Ben was locked out, Keira gave him the key.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Keira,Ben,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_010__counterfactual,agent_recipient_style_0_010,counterfactual,"Because Keira was locked out, Ben gave her the key.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Ben,Keira,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_011__base,agent_recipient_style_0_011,base,Liam gave Clara the map because she was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Liam,Clara,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_011__paraphrase,agent_recipient_style_0_011,paraphrase,"Because Clara was locked out, Liam gave her the map.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Liam,Clara,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_011__counterfactual,agent_recipient_style_0_011,counterfactual,"Because Liam was locked out, Clara gave him the map.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Clara,Liam,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_012__base,agent_recipient_style_0_012,base,Maya gave Diego the torch because he was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Maya,Diego,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_012__paraphrase,agent_recipient_style_0_012,paraphrase,"Because Diego was locked out, Maya gave him the torch.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Maya,Diego,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_012__counterfactual,agent_recipient_style_0_012,counterfactual,"Because Maya was locked out, Diego gave her the torch.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Diego,Maya,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_013__base,agent_recipient_style_0_013,base,Noah gave Elena the package because she was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Noah,Elena,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_013__paraphrase,agent_recipient_style_0_013,paraphrase,"Because Elena was locked out, Noah gave her the package.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Noah,Elena,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_013__counterfactual,agent_recipient_style_0_013,counterfactual,"Because Noah was locked out, Elena gave him the package.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Elena,Noah,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_014__base,agent_recipient_style_0_014,base,Priya gave Victor the note because he was locked out.,agent_recipient,agent_recipient_style_0,test_entity,dev,test,Priya,Victor,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_014__paraphrase,agent_recipient_style_0_014,paraphrase,"Because Victor was locked out, Priya gave him the note.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Priya,Victor,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_014__counterfactual,agent_recipient_style_0_014,counterfactual,"Because Priya was locked out, Victor gave her the note.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Victor,Priya,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_015__base,agent_recipient_style_0_015,base,Owen gave Priya the key because she was locked out.,agent_recipient,agent_recipient_style_0,test_entity,dev,test,Owen,Priya,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_015__paraphrase,agent_recipient_style_0_015,paraphrase,"Because Priya was locked out, Owen gave her the key.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Owen,Priya,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_015__counterfactual,agent_recipient_style_0_015,counterfactual,"Because Owen was locked out, Priya gave him the key.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Priya,Owen,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_016__base,agent_recipient_style_0_016,base,Rosa gave Owen the map because he was locked out.,agent_recipient,agent_recipient_style_0,test_entity,dev,test,Rosa,Owen,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_016__paraphrase,agent_recipient_style_0_016,paraphrase,"Because Owen was locked out, Rosa gave him the map.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Rosa,Owen,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_016__counterfactual,agent_recipient_style_0_016,counterfactual,"Because Rosa was locked out, Owen gave her the map.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Owen,Rosa,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_017__base,agent_recipient_style_0_017,base,Theo gave Rosa the torch because she was locked out.,agent_recipient,agent_recipient_style_0,test_entity,dev,test,Theo,Rosa,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_017__paraphrase,agent_recipient_style_0_017,paraphrase,"Because Rosa was locked out, Theo gave her the torch.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Theo,Rosa,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_017__counterfactual,agent_recipient_style_0_017,counterfactual,"Because Theo was locked out, Rosa gave him the torch.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Rosa,Theo,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_018__base,agent_recipient_style_0_018,base,Uma gave Theo the package because he was locked out.,agent_recipient,agent_recipient_style_0,test_entity,dev,test,Uma,Theo,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_018__paraphrase,agent_recipient_style_0_018,paraphrase,"Because Theo was locked out, Uma gave him the package.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Uma,Theo,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_018__counterfactual,agent_recipient_style_0_018,counterfactual,"Because Uma was locked out, Theo gave her the package.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Theo,Uma,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_019__base,agent_recipient_style_0_019,base,Victor gave Uma the note because she was locked out.,agent_recipient,agent_recipient_style_0,test_entity,dev,test,Victor,Uma,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_019__paraphrase,agent_recipient_style_0_019,paraphrase,"Because Uma was locked out, Victor gave her the note.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Victor,Uma,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_0_019__counterfactual,agent_recipient_style_0_019,counterfactual,"Because Victor was locked out, Uma gave him the note.",agent_recipient,agent_recipient_style_0,test_entity,dev,test,Uma,Victor,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_000__base,agent_recipient_style_1_000,base,Ava gave Farid the key since he was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Ava,Farid,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_000__paraphrase,agent_recipient_style_1_000,paraphrase,"Since Farid was locked out, Ava gave him the key.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Ava,Farid,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_000__counterfactual,agent_recipient_style_1_000,counterfactual,"Since Ava was locked out, Farid gave her the key.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Farid,Ava,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_001__base,agent_recipient_style_1_001,base,Ben gave Grace the map since she was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Ben,Grace,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_001__paraphrase,agent_recipient_style_1_001,paraphrase,"Since Grace was locked out, Ben gave her the map.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Ben,Grace,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_001__counterfactual,agent_recipient_style_1_001,counterfactual,"Since Ben was locked out, Grace gave him the map.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Grace,Ben,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_002__base,agent_recipient_style_1_002,base,Clara gave Hugo the torch since he was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Clara,Hugo,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_002__paraphrase,agent_recipient_style_1_002,paraphrase,"Since Hugo was locked out, Clara gave him the torch.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Clara,Hugo,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_002__counterfactual,agent_recipient_style_1_002,counterfactual,"Since Clara was locked out, Hugo gave her the torch.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Hugo,Clara,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_003__base,agent_recipient_style_1_003,base,Diego gave Inez the package since she was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Diego,Inez,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_003__paraphrase,agent_recipient_style_1_003,paraphrase,"Since Inez was locked out, Diego gave her the package.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Diego,Inez,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_003__counterfactual,agent_recipient_style_1_003,counterfactual,"Since Diego was locked out, Inez gave him the package.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Inez,Diego,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_004__base,agent_recipient_style_1_004,base,Elena gave Jonah the note since he was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Elena,Jonah,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_004__paraphrase,agent_recipient_style_1_004,paraphrase,"Since Jonah was locked out, Elena gave him the note.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Elena,Jonah,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_004__counterfactual,agent_recipient_style_1_004,counterfactual,"Since Elena was locked out, Jonah gave her the note.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Jonah,Elena,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_005__base,agent_recipient_style_1_005,base,Farid gave Keira the key since she was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Farid,Keira,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_005__paraphrase,agent_recipient_style_1_005,paraphrase,"Since Keira was locked out, Farid gave her the key.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Farid,Keira,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_005__counterfactual,agent_recipient_style_1_005,counterfactual,"Since Farid was locked out, Keira gave him the key.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Keira,Farid,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_006__base,agent_recipient_style_1_006,base,Grace gave Liam the map since he was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Grace,Liam,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_006__paraphrase,agent_recipient_style_1_006,paraphrase,"Since Liam was locked out, Grace gave him the map.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Grace,Liam,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_006__counterfactual,agent_recipient_style_1_006,counterfactual,"Since Grace was locked out, Liam gave her the map.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Liam,Grace,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_007__base,agent_recipient_style_1_007,base,Hugo gave Maya the torch since she was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Hugo,Maya,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_007__paraphrase,agent_recipient_style_1_007,paraphrase,"Since Maya was locked out, Hugo gave her the torch.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Hugo,Maya,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_007__counterfactual,agent_recipient_style_1_007,counterfactual,"Since Hugo was locked out, Maya gave him the torch.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Maya,Hugo,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_008__base,agent_recipient_style_1_008,base,Inez gave Noah the package since he was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Inez,Noah,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_008__paraphrase,agent_recipient_style_1_008,paraphrase,"Since Noah was locked out, Inez gave him the package.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Inez,Noah,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_008__counterfactual,agent_recipient_style_1_008,counterfactual,"Since Inez was locked out, Noah gave her the package.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Noah,Inez,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_009__base,agent_recipient_style_1_009,base,Jonah gave Ava the note since she was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Jonah,Ava,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_009__paraphrase,agent_recipient_style_1_009,paraphrase,"Since Ava was locked out, Jonah gave her the note.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Jonah,Ava,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_009__counterfactual,agent_recipient_style_1_009,counterfactual,"Since Jonah was locked out, Ava gave him the note.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Ava,Jonah,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_010__base,agent_recipient_style_1_010,base,Keira gave Ben the key since he was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Keira,Ben,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_010__paraphrase,agent_recipient_style_1_010,paraphrase,"Since Ben was locked out, Keira gave him the key.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Keira,Ben,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_010__counterfactual,agent_recipient_style_1_010,counterfactual,"Since Keira was locked out, Ben gave her the key.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Ben,Keira,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_011__base,agent_recipient_style_1_011,base,Liam gave Clara the map since she was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Liam,Clara,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_011__paraphrase,agent_recipient_style_1_011,paraphrase,"Since Clara was locked out, Liam gave her the map.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Liam,Clara,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_011__counterfactual,agent_recipient_style_1_011,counterfactual,"Since Liam was locked out, Clara gave him the map.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Clara,Liam,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_012__base,agent_recipient_style_1_012,base,Maya gave Diego the torch since he was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Maya,Diego,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_012__paraphrase,agent_recipient_style_1_012,paraphrase,"Since Diego was locked out, Maya gave him the torch.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Maya,Diego,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_012__counterfactual,agent_recipient_style_1_012,counterfactual,"Since Maya was locked out, Diego gave her the torch.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Diego,Maya,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_013__base,agent_recipient_style_1_013,base,Noah gave Elena the package since she was locked out.,agent_recipient,agent_recipient_style_1,dev,dev,dev,Noah,Elena,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_013__paraphrase,agent_recipient_style_1_013,paraphrase,"Since Elena was locked out, Noah gave her the package.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Noah,Elena,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_013__counterfactual,agent_recipient_style_1_013,counterfactual,"Since Noah was locked out, Elena gave him the package.",agent_recipient,agent_recipient_style_1,dev,dev,dev,Elena,Noah,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_1_014__base,agent_recipient_style_1_014,base,Priya gave Victor the note since he was locked out.,agent_recipient,agent_recipient_style_1,test_entity,dev,test,Priya,Victor,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_014__paraphrase,agent_recipient_style_1_014,paraphrase,"Since Victor was locked out, Priya gave him the note.",agent_recipient,agent_recipient_style_1,test_entity,dev,test,Priya,Victor,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_014__counterfactual,agent_recipient_style_1_014,counterfactual,"Since Priya was locked out, Victor gave her the note.",agent_recipient,agent_recipient_style_1,test_entity,dev,test,Victor,Priya,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_015__base,agent_recipient_style_1_015,base,Owen gave Priya the key since she was locked out.,agent_recipient,agent_recipient_style_1,test_entity,dev,test,Owen,Priya,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_015__paraphrase,agent_recipient_style_1_015,paraphrase,"Since Priya was locked out, Owen gave her the key.",agent_recipient,agent_recipient_style_1,test_entity,dev,test,Owen,Priya,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_015__counterfactual,agent_recipient_style_1_015,counterfactual,"Since Owen was locked out, Priya gave him the key.",agent_recipient,agent_recipient_style_1,test_entity,dev,test,Priya,Owen,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_016__base,agent_recipient_style_1_016,base,Rosa gave Owen the map since he was locked out.,agent_recipient,agent_recipient_style_1,test_entity,dev,test,Rosa,Owen,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_016__paraphrase,agent_recipient_style_1_016,paraphrase,"Since Owen was locked out, Rosa gave him the map.",agent_recipient,agent_recipient_style_1,test_entity,dev,test,Rosa,Owen,give,,recipient,causal,preserved,,,False,False,True,False,True,False,False,False
agent_recipient_style_1_016__counterfactual,agent_recipient_style_1_016,counterfactual,"Since Rosa was locked out, Owen gave her the map.",agent_recipient,agent_recipient_style_1,test_entity,dev,test,Owen,Rosa,give,,agent,causal,swapped,,,False,False,True,False,True,False,False,False
