identifier,template_id,manipulation,split,template_split,entity_split,agent,recipient,event,changed_field,base,paraphrase,counterfactual,base_paraphrase_unigram_jaccard,base_paraphrase_unigram_multiset_f1,base_paraphrase_bigram_jaccard,base_paraphrase_edit_similarity,base_paraphrase_structural_edit_similarity,base_paraphrase_token_count,base_paraphrase_length_difference,base_counterfactual_unigram_jaccard,base_counterfactual_unigram_multiset_f1,base_counterfactual_bigram_jaccard,base_counterfactual_edit_similarity,base_counterfactual_structural_edit_similarity,base_counterfactual_token_count,base_counterfactual_length_difference,absolute_unigram_jaccard_gap,absolute_unigram_multiset_f1_gap,absolute_bigram_jaccard_gap,absolute_edit_similarity_gap,absolute_structural_edit_similarity_gap,absolute_length_difference_gap,match_score
polarity_style_1_019,polarity_style_1,polarity,test_entity,dev,test,Victor,Uma,repair,polarity,Victor did repair the bike because it was broken.,"Since the bike was broken, Victor did mend it.","Because the bike was broken, Victor did not fix it.",0.6363636363636364,0.7777777777777778,0.23076923076923078,0.0,0.0,9.0,0.0,0.7272727272727273,0.8421052631578947,0.21428571428571427,0.0,0.0,10.0,1.0,0.09090909090909094,0.0643274853801169,0.016483516483516508,0.0,0.0,1.0,1.1717200927727243
cause_style_1_015,cause_style_1,cause,test_entity,dev,test,Owen,Priya,call,cause_participant,Owen called Priya since she was worried.,"Since Priya was worried, Owen called her.","Since Owen was worried, he called Priya.",0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause_style_1_019,cause_style_1,cause,test_entity,dev,test,Victor,Uma,call,cause_participant,Victor called Uma since she was worried.,"Since Uma was worried, Victor called her.","Since Victor was worried, he called Uma.",0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
event_state_style_1_019,event_state_style_1,event_state,test_entity,dev,test,Victor,Uma,carry,event,Victor carried the glass because it was fragile.,"Because the glass was fragile, Victor transported it.","Because the glass was fragile, Victor dropped it.",0.7777777777777778,0.875,0.16666666666666666,0.125,0.125,8.0,0.0,0.7777777777777778,0.875,0.16666666666666666,0.125,0.125,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polarity_style_0_000,polarity_style_0,polarity,dev,dev,dev,Ava,Farid,repair,polarity,Ava did repair the bike because it was broken.,"Since the bike was broken, Ava did mend it.","Because the bike was broken, Ava did not fix it.",0.6363636363636364,0.7777777777777778,0.23076923076923078,0.0,0.0,9.0,0.0,0.7272727272727273,0.8421052631578947,0.21428571428571427,0.0,0.0,10.0,1.0,0.09090909090909094,0.0643274853801169,0.016483516483516508,0.0,0.0,1.0,1.1717200927727243
cause_style_2_003,cause_style_2,cause,test_template,test,dev,Diego,Inez,call,cause_participant,Diego called Inez when she was worried.,"When Inez was worried, Diego called her.","When Diego was worried, he called Inez.",0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_style_0_011,temporal_style_0,temporal,dev,dev,dev,Liam,Clara,clean,temporal_relation,Liam cleaned the spill after the alarm rang.,"Once the alarm rang, Liam cleaned the spill.","Before the alarm rang, Liam cleaned the spill.",0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause_style_1_006,cause_style_1,cause,dev,dev,dev,Grace,Liam,call,cause_participant,Grace called Liam since he was worried.,"Since Liam was worried, Grace called him.","Since Grace was worried, she called Liam.",0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
event_state_style_1_004,event_state_style_1,event_state,dev,dev,dev,Elena,Jonah,carry,event,Elena carried the glass because it was fragile.,"Because the glass was fragile, Elena transported it.","Because the glass was fragile, Elena dropped it.",0.7777777777777778,0.875,0.16666666666666666,0.125,0.125,8.0,0.0,0.7777777777777778,0.875,0.16666666666666666,0.125,0.125,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_recipient_style_1_014,agent_recipient_style_1,agent_recipient,test_entity,dev,test,Priya,Victor,give,agent_recipient,Priya gave Victor the note since he was locked out.,"Since Victor was locked out, Priya gave him the note.","Since Priya was locked out, Victor gave her the note.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
temporal_style_0_000,temporal_style_0,temporal,dev,dev,dev,Ava,Farid,clean,temporal_relation,Ava cleaned the spill after the alarm rang.,"Once the alarm rang, Ava cleaned the spill.","Before the alarm rang, Ava cleaned the spill.",0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause_style_1_003,cause_style_1,cause,dev,dev,dev,Diego,Inez,call,cause_participant,Diego called Inez since she was worried.,"Since Inez was worried, Diego called her.","Since Diego was worried, he called Inez.",0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
event_state_style_0_000,event_state_style_0,event_state,dev,dev,dev,Ava,Farid,carry,event,Ava carried the glass because it was fragile.,"Because the glass was fragile, Ava transported it.","Because the glass was fragile, Ava dropped it.",0.7777777777777778,0.875,0.16666666666666666,0.125,0.125,8.0,0.0,0.7777777777777778,0.875,0.16666666666666666,0.125,0.125,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause_style_0_014,cause_style_0,cause,test_entity,dev,test,Priya,Victor,call,cause_participant,Priya called Victor because he was worried.,"Because Victor was worried, Priya called him.","Because Priya was worried, she called Victor.",0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause_style_1_005,cause_style_1,cause,dev,dev,dev,Farid,Keira,call,cause_participant,Farid called Keira since she was worried.,"Since Keira was worried, Farid called her.","Since Farid was worried, he called Keira.",0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.75,0.8571428571428571,0.2,0.0,0.1428571428571429,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
